scenario,name_tempt,name_notempt,setup,outcome_tempt,outcome_notempt,conclusion,good_behav,bad_behav
1,Emma,Abby,Emma lives in an apartment. She promised herself that she would clean the apartment before she left for the day. Then Emma hears her friends talking outside. ,"She could go talk with her friends right now instead of cleaning her apartment, and she wants to do that.","She could go talk with her friends right now instead of cleaning her apartment, but she doesn’t want to do that.",Emma cleans her apartment.,cleaning her apartment,talk with her friends
2,Adam,Mike,"Adam lives in an apartment. He thinks he spends too much time playing video games, and he has recently been trying to read more in his free time. One afternoon, Adam sees his book and his video game controller on the table.","He could play video games instead of reading, and he wants to do that.","He could play video games instead of reading, but he doesn’t want to do that.",Adam reads his book.,reading his book,play video games
3,Grace,Sara,"Grace works at a company. While in a meeting, Grace gets a text notification from a friend on her computer. ","She could text the friend instead of paying attention to the meeting, and she wants to do that.","She could text the friend instead of paying attention to the meeting, but she doesn’t want to do that.",Grace pays attention to the meeting.,paying attention to the meeting,text her friend
4,Mason,Ian,Mason is looking for a new job. He has an application due tomorrow morning that he needs to finish tonight. Mason also sees that there are football games playing live on TV.,"He could watch football instead of working on his application, and he wants to do that.","He could watch football instead of working on his application, but he doesn’t want to do that.",Mason works on his application.,working on his application,watch football
5,Rose,Lia,"Rose lives in a big city. She orders a lot of takeout for dinner, but this is getting expensive, so she has been trying to learn how to cook recently. One day after work, Rose is thinking about what to have for dinner.","She could order takeout instead of cooking, and she wants to do that.","She could order takeout instead of cooking, but she doesn’t want to do that.",Rose cooks dinner at home. ,cooking dinner at home,order takeout
6,Liam,Harry,"Liam lives in a small town. He has been trying to quit smoking, and has thrown away his cigarettes. However, one day while he is cleaning his apartment, he finds a single cigarette left behind the couch.","He could smoke the cigarette, and he wants to do that.","He could smoke the cigarette, but he doesn’t want to do that.",Liam does not smoke the cigarette. ,not smoking the cigarette,smoke the cigarette
7,Piper,Lucy,"Piper was recently diagnosed with celiac disease, and she needs to remove gluten from her diet. One day, one of her friends offers her a piece of cake that has gluten in it.","She could eat the cake, and she wants to do that.","She could eat the cake, but she doesn't want to do that.",Piper does not eat the cake.,not eating the cake,eat the cake
8,James,Richard,"James works at a company. He has a presentation tomorrow at work, and he needs to get a good night’s sleep. When he is getting ready to go to sleep, his friends start texting in a group chat.","He could stay up late texting them, and he wants to do that.","He could stay up late texting them, but he doesn’t want to do that.",James goes to bed.,going to bed,stay up late texting
9,Thalia,Reagan,"Thalia is very angry at a person she has encountered at a bar. The situation escalates to a physical altercation, and she has her opponent held down on the ground. If Thalia knocks out her opponent, it would really hurt them.","She could knock out her opponent, and she wants to do that.","She could knock out her opponent, but she doesn’t want to do that.",Thalia does not knock out her opponent.,not knocking out her opponent,knock out her opponent
10,Mary,Alice,"Mary is an avid smoker. She is currently at a child’s birthday party, and the birthday boy has asthma. If Mary smokes, the boy at the party will likely have a negative reaction. ","She could smoke now, and she wants to do that.","She could smoke now, but she doesn’t want to do that.",Mary waits until after the party to smoke.,waiting until after the party,smoke at the party
11,Sara,Ariana,"While Sara is on a walk, she finds a wallet on the ground that does not belong to her. The wallet contains cash and the owner’s ID card. Sara knows that the wallet is not hers.","She could take the money from the wallet, and she wants to do that.","She could take the money from the wallet, but she doesn’t want to do that.",Sara returns the wallet and its contents to the owner.,returning the wallet,take the money from the wallet
12,Samantha,Audrey,"Samantha is a physician, and she is on a plane. A nearby passenger passes out. The flight attendant asks if anybody on board has medical experience to help the passenger in distress. Samantha knows that not helping the person may cause them additional suffering.","She could lie to avoid the commitment, and she wants to do that.","She could lie to avoid the commitment, but she doesn’t want to do that.",Samantha helps the passenger.,helping the passenger,lie to avoid the commitment
13,Kevin,Ben,"Kevin works for a company. One day, he goes to the supply cabinet to get printer paper and sees an extra pair of scissors. He remembers that he needs a pair of scissors at home. Kevin knows that the scissors are not his.","He could steal the scissors, and he wants to do that.","He could steal the scissors, but he doesn’t want to do that.",Kevin leaves the scissors in the cabinet.,leaving the scissors,steal the scissors
14,Oliver,Keith,"Oliver works in a restaurant with a persistent pest problem. The restaurant would shut down if the pest problem were reported, causing Oliver to lose his job. If Oliver does not report the problem, the health of the customers who eat at the restaurant will be jeopardized.","He could stay silent about the pest problem, and he wants to do that.","He could stay silent about the pest problem, but he doesn’t want to do that.",Oliver reports the pest problem.,reporting the pest problem,stay silent about the pest problem
15,Matthew,Edward,"Matthew works in an office with a coworker who is careless and rude. One day, the careless coworker gets into trouble with paperwork and needs help. Matthew knows that her coworker may fall behind if they do not receive help.","He could leave the coworker to finish their work alone, and he wants to do that.","He could leave the coworker to finish their work alone, but he doesn’t want to do that.",Matthew helps the coworker.,helping the coworker,leave the coworker to finish their work alone
16,Dylan,Jake,"Dylan, a single man, is at a bar. He has been chatting and exchanging flirtatious looks with a woman all night. The woman tells him her husband is away, and she invites him to go back to her apartment to have sex. Dylan knows that the woman is married.","He could accept the invitation, and he wants to do that.","He could accept the invitation, but he doesn’t want to do that.",Dylan declines the invitation.,declining the invitation,accept the invitation
